Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RP-1903_HK-104	RP-1903_HK-104.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	235347925.0	0.0	101.0	49.0	53.87969140059491	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	pass
RP-1903_HK-107	RP-1903_HK-107.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	247059676.0	0.0	101.0	48.0	49.63623237999603	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_HK-108	RP-1903_HK-108.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	269520148.0	0.0	101.0	48.0	51.51121671736784	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-114	RP-1903_HK-114.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	107509053.0	0.0	101.0	49.0	62.29734506998966	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-115	RP-1903_HK-115.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	270058817.0	0.0	101.0	48.0	49.90897107332983	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
RP-1903_HK-116	RP-1903_HK-116.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	222595584.0	0.0	101.0	48.0	50.70362843471775	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-119	RP-1903_HK-119.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	245810287.0	0.0	101.0	49.0	54.07618177133082	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-124	RP-1903_HK-124.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	276733640.0	0.0	101.0	48.0	52.04941653050995	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-126	RP-1903_HK-126.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	312339782.0	0.0	101.0	48.0	50.096593168213275	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
RP-1903_HK-127	RP-1903_HK-127.Aligned.sortedByCoord.out.bam	Conventional base calls	Sanger / Illumina 1.9	240182789.0	0.0	101.0	47.0	51.92234040560441	101.0	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass	pass
