Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA Rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
RP-1903_HK-035	0.99493	1	0	0	0.0017804	0.99604	0.99382	0.00174418	0.0018167	0.951754	0.948456	0.956604	0.0244281	0.00854661	0.981032	0.0104216	0.963042	0.0224659	0.00619019	0.985508	0.00830196	0	0.00315331	0	0.00653165	0.993731	0.45099	19449735	1943316	0	110772557	699536	12855663699	12827005656	127283799	127000056	22422604	23302790	728285	110890036	243248852	0	241176922	2173265	249460534	2650056	6211682	11298969	13106933	0	254283855	254283855	45725394	254283845	0	0	254283855	801835	25682669355	126838511	275029343	255579608	0	101	22125	0	11351	0.488544	0.476596	0.31618	0.418932	0.20122	0.771186	0	0	0.901128	0.183536	0.178369
RP-1903_HK-047	0.994573	1	0	0	0.00191405	0.996083	0.993064	0.00179605	0.0020324	0.950101	0.944918	0.955285	0.024821	0.00899143	0.980106	0.0109027	0.962902	0.0226703	0.00582843	0.985572	0.00859961	0	0.00214886	0	0.00649069	0.993798	0.460545	18310237	1660301	0	91257682	568868	10520536124	10488651333	104163724	103848033	18895405	21317165	596195	91160527	198710484	0	196553958	1870324	203873537	2267896	5163053	9839323	11457799	0	208011757	208011757	40212570	208011749	0	0	208011757	446988	21009187457	103713735	227456986	209146749	0	101	21524	0	11038	0.465477	0.438596	0.312736	0.404075	0.181333	0.735294	0	0	0.891621	0.183918	0.176675
RP-1903_HK-061	0.995032	1	0	0	0.00181013	0.996221	0.993843	0.0017382	0.00188224	0.953172	0.947256	0.957931	0.0230999	0.00917633	0.981031	0.00979234	0.96552	0.0208981	0.00582299	0.986418	0.00775891	0	0.00213694	0	0.00626808	0.99403	0.461035	13746906	1306849	0	71463585	429077	8241217513	8221546349	81596213	81401449	14324875	15474891	450765	71446925	156140591	0	154400504	1495720	159905814	1596128	3765223	7327926	8597158	0	162997662	162997662	29799766	162997656	0	0	162997662	348317	16462763862	81297395	177558440	163811534	0	101	20717	0	10284	0.474187	0.457249	0.315212	0.409323	0.1875	0.745098	0	0	0.904338	0.185515	0.179216
RP-1903_HK-070	0.992869	1	0	0	0.00179784	0.995322	0.990415	0.0017414	0.00185455	0.94309	0.937019	0.949864	0.0259483	0.0126128	0.975812	0.0115752	0.964395	0.0209807	0.00535493	0.985376	0.0092694	0	0.00329281	0	0.00822001	0.991547	0.469794	13733257	709517	0	45155350	383222	5245197246	5219338014	51932646	51676614	9133995	9679538	374254	44954241	98414684	0	97083843	1306802	101103163	1199295	2688479	5808341	6525417	0	103609260	103609260	18813533	103609259	0	0	103609260	341166	10464535260	51570179	118086691	104353434	0	101	20180	0	8735	0.468681	0.451613	0.307065	0.392327	0.192593	0.727273	0	0	0.923568	0.187207	0.178618
RP-1903_HK-071-001	0.992544	1	0	0	0.00179875	0.993978	0.99111	0.00175889	0.00183874	0.947668	0.932309	0.954786	0.0239728	0.0103464	0.978759	0.0108946	0.965915	0.020862	0.00502596	0.986777	0.00819672	0	0.0033245	0	0.00664782	0.993445	0.49157	41545854	2819664	0	138465607	912642	15866898505	15821114094	157098005	156644694	27908060	29090861	926655	138322958	299557205	0	292505178	3246094	307078507	3418098	7521302	19223663	21237521	0	313742699	313742699	56998921	313742676	0	0	313742699	1043037	31688012599	156396690	357645328	316099474	0	101	22074	0	11437	0.477681	0.466667	0.315114	0.417959	0.1875	0.75	0	0	0.878939	0.17654	0.169528
RP-1903_HK-071-004	0.993082	1	0	0	0.0019254	0.995247	0.990918	0.00182718	0.00202405	0.947012	0.938675	0.953609	0.0233528	0.011182	0.976962	0.0118562	0.967164	0.0187128	0.00474911	0.985877	0.00937432	0	0.00354706	0	0.00818555	0.991785	0.456826	10991844	564141	0	39649094	327520	4616867560	4596789265	45711560	45512765	8435835	9304120	327228	39539975	86992333	0	85630011	1020074	89122674	1081577	2130341	5065375	5594314	0	91224325	91224325	17739955	91224324	0	0	91224325	323578	9213656825	45441697	102851614	91859770	0	101	19383	0	8142	0.501721	0.5	0.308245	0.399162	0.227273	0.769231	0	0	0.950914	0.201078	0.192809
RP-1903_HK-073	0.994656	1	0	0	0.00194971	0.995973	0.993339	0.00183995	0.00205976	0.951375	0.947712	0.956486	0.0237306	0.00952793	0.980217	0.0102551	0.964167	0.0215359	0.00628321	0.985702	0.00801435	0	0.00343842	0	0.00660176	0.993604	0.455958	21194364	1414211	0	108432470	698447	12514375508	12481283969	123904708	123577069	23025794	25708492	720602	108495589	236712929	0	234541359	2357988	242585832	2537957	5872903	11617771	12940418	0	247481777	247481777	48734286	247481758	0	0	247481777	850946	24995659477	123442371	270005716	248811352	0	101	22262	0	11376	0.482159	0.469322	0.317361	0.423722	0.190476	0.763485	0	0	0.890832	0.189545	0.184031
RP-1903_HK-075	0.993999	1	0	0	0.00187803	0.995655	0.992343	0.00175924	0.00199721	0.94903	0.944502	0.95476	0.0256828	0.00930857	0.980443	0.0102487	0.962212	0.0234736	0.00621655	0.985686	0.00809739	0	0.00187855	0	0.00666918	0.993551	0.451631	19261609	2050895	0	101153401	655732	11701140274	11662213359	115852874	115467459	20585093	23291915	679140	101019528	220855385	0	218482417	2153261	226796348	2370724	5940963	10926016	12837916	0	231320333	231320333	43877008	231320329	0	0	231320333	434546	23363353633	115296461	251978506	232716897	0	101	21918	0	11163	0.489417	0.481771	0.320853	0.436655	0.189655	0.778761	0	0	0.926204	0.185184	0.184404
RP-1903_HK-081	0.994853	1	0	0	0.00176442	0.996005	0.993701	0.00172449	0.00180445	0.952368	0.946768	0.957295	0.0230904	0.00888048	0.980385	0.0107342	0.965107	0.020866	0.00560151	0.985974	0.00842499	0	0.00226959	0	0.00669697	0.993557	0.46667	21671325	1324738	0	104519471	677438	12069528785	12041609254	119500285	119223854	20813802	21728469	704683	104461363	228529410	0	226016332	2119985	234041647	2562507	5512237	11494429	12707807	0	238724139	238724139	42542271	238724057	0	0	238724139	541807	24111138039	119082318	261630471	239959146	0	101	21613	0	11192	0.476759	0.461538	0.315695	0.419787	0.185941	0.756098	0	0	0.899162	0.181658	0.174968
RP-1903_HK-085	0.992651	1	0	0	0.00183475	0.99411	0.991191	0.00181171	0.00185786	0.954186	0.943455	0.961251	0.0202791	0.00873005	0.98153	0.00974021	0.969706	0.0176884	0.00547732	0.987395	0.00712787	0	0.00205343	0	0.00627036	0.993937	0.449304	23452764	2120237	0	120019909	731997	13923726377	13882849556	137858677	137453956	25225769	25792440	757317	119989932	264644442	0	259745081	2403493	270227538	2681602	5583096	13986281	15567552	0	275312633	275312633	51018209	275312587	0	0	275312633	565335	27806575933	137225088	300803754	277350990	0	101	22206	0	11703	0.541342	0.560976	0.318919	0.428508	0.254113	0.836364	0	0	0.905212	0.180843	0.175125
