Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MAN_0694_01	31641424.0	202.0	17471925.0	55.22	200.67	14230024.0	14229797.0	14147649.0	74699.0	4763.0	2913.0	0.22	0.01	2.19	0.0	1.67	13464804.0	42.55	2866.0	0.01	0.02	1.89	0.08	7054	666561	28214
RGP_554_3_2	78033723.0	202.0	67731555.0	86.8	200.39	45597277.0	45595913.0	45192747.0	352341.0	31906.0	20283.0	0.28	0.01	1.81	0.01	1.55	9023452.0	11.56	12641.0	0.02	0.02	0.36	0.09	53876	969760	242440
RGP_558_3	83049892.0	202.0	69971598.0	84.25	200.45	48581948.0	48580764.0	48108158.0	410207.0	38526.0	25057.0	0.28	0.01	1.99	0.01	1.57	11957868.0	14.4	10006.0	0.01	0.02	0.52	0.12	33649	874876	201895
RGP_673_3	28232007.0	202.0	22189092.0	78.6	200.19	15780604.0	15780320.0	15666779.0	99559.0	9175.0	5091.0	0.24	0.01	1.82	0.01	1.62	5635692.0	19.96	5146.0	0.02	0.02	0.81	0.08	8837	357893	35347
RGP_677_3	22379004.0	202.0	19260883.0	86.07	200.11	12093740.0	12093481.0	12003149.0	76999.0	8535.0	5057.0	0.24	0.01	1.89	0.01	1.6	2779492.0	12.42	5548.0	0.02	0.02	0.82	0.09	7163	293684	32234
RGP_677_4	30630906.0	202.0	24174998.0	78.92	200.3	15472518.0	15472121.0	15356770.0	98070.0	10338.0	7340.0	0.28	0.01	1.88	0.01	1.6	5989899.0	19.56	13708.0	0.04	0.03	0.95	0.09	12681	401576	38044
RGP_94_3_2	47781577.0	202.0	37577778.0	78.64	200.68	26272750.0	26272207.0	26060654.0	181525.0	19000.0	11571.0	0.29	0.01	1.82	0.01	1.57	9209551.0	19.27	10671.0	0.02	0.02	0.98	0.11	17722	868383	97472
RGP_94_4_2	47353489.0	202.0	37721106.0	79.66	200.57	24480593.0	24480031.0	24274794.0	176569.0	16467.0	12763.0	0.3	0.01	1.81	0.01	1.58	8651652.0	18.27	10394.0	0.02	0.03	0.84	0.09	30323	849045	90969
