Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90
BON_B09-9_CHX_2 - illumina_universal_adapter	2.8295496394876825e-05	3.491784661495438e-05	5.418286543699817e-05	0.0001360591954306843	0.00017398720123658302	0.00022877209851177008	0.000252251340201136	0.00027512855005231297	0.0003112504603436451	0.00036663738945702095	0.0004430954329070073	0.000540624590693604	0.0006267151435546122	0.000701367091490032	0.0007639784026616742	0.0008521760669563435	0.0009644550047785674	0.001122187346384051	0.0013076131525462226	0.0015267527416469708	0.0018672017461427758	0.0023479241689365873	0.0030712654225205135	0.003904176470654813	0.005014624196194181	0.006444750827811838	0.008125322704116065	0.010072895700657055	0.01217549189553168	0.015238328872317549	0.01915334191605976	0.023627642537479433	0.028599522473162206	0.03483837841231345	0.04320842705865329	0.05353869137013609	0.0658093042961016	0.08002598513901264	0.09731001819749596	0.11841424428520675	0.14476638190640992	0.17610183806822144	0.2138227449217832	0.2601286257879182	0.31590747762795507	0.3805509472694039	0.457326863529954	0.551790174180574	0.660952092160575	0.7550803720932427
BON_B12-71_2 - illumina_universal_adapter	0.0003160376735146718	0.0003417721697865808	0.00043929236618539384	0.000713793659752423	0.0008013812435550607	0.0009901008828823933	0.0010749795723406193	0.0011770145926467848	0.0013968865169348495	0.0018050265981595112	0.0022673445662724024	0.002687223189656181	0.0030915256705595934	0.0035263032128376344	0.003961532237506411	0.0045026338828026025	0.005022741596929605	0.005626373553342629	0.006291407114895646	0.00703251545928755	0.007853987669230329	0.008830544080390666	0.009860826896048495	0.011152292274746664	0.01267401367271981	0.014503646061174392	0.016380684100656177	0.018619811017507627	0.021475211397712683	0.02515050379949295	0.029702349262885695	0.03455510773970348	0.04008305813186583	0.047158464418273226	0.056413627687150386	0.06722888835721319	0.07975459006457647	0.09428690525756256	0.11107166609792678	0.13089648361630676	0.15491512106222644	0.18387094419203143	0.21796621711677105	0.25878970636944265	0.30784168793445954	0.3634934390872442	0.42919925159931205	0.5067124573350834	0.5960075475394817	0.6705488704382383
BON_B14-51_1_2 - illumina_universal_adapter	6.078544667940536e-05	6.441442857071315e-05	8.891005633704068e-05	0.00018689256740235082	0.00021773891347846698	0.00031118519717964236	0.0003356808249459699	0.00036199094365795134	0.00039828076257102915	0.0004459111498944438	0.0005207589014026668	0.0005815443480820721	0.0006473196448620257	0.0007602717062289805	0.000818335416489905	0.0008909150543160607	0.0009349164597481675	0.0009761961287617936	0.0010106714567292175	0.0010392496891232662	0.0010641989396260074	0.0011068394768488738	0.001152201750490221	0.0012093582152783184	0.0012728653983762048	0.0013617754547132453	0.0014556753611508345	0.0015600085905259332	0.0017083432253331386	0.001953299502996414	0.002264031077439643	0.002597897411439959	0.003003889760530017	0.0036004036589137338	0.004396057938582965	0.005559600257483523	0.00672949329469387	0.008245046857051283	0.010050918970713318	0.012369384776522578	0.015306138372063401	0.018958708645664686	0.0234845026868619	0.029195159315571113	0.036620056265186836	0.045508793785208834	0.05653409439373829	0.07029655459378664	0.08667641798294073	0.10069245329264422
BON_B14_48_CHX-_1 - illumina_universal_adapter	3.5606295041391564e-05	4.769283556002907e-05	7.839918174251354e-05	0.0001479784555389943	0.00019567129109902338	0.0002655772281527646	0.0003116367474264913	0.00035802292995747853	0.0004178023060361451	0.0005298478032764874	0.0006923627737635727	0.0008537344228502464	0.001018536036138155	0.0011679844763348216	0.0013125329676725809	0.0014801112186472035	0.0016576526989682708	0.0018330708681171446	0.002029395485730689	0.0022714529593606996	0.0025277202846815407	0.0028632034498880465	0.003350421698092042	0.003959158677996934	0.0048092998050173145	0.005898885099609623	0.007138082166027227	0.00847282823519352	0.010188790325582786	0.012377434149227956	0.015384696095567871	0.01883458675549573	0.022788355489747864	0.027759680270366374	0.034296212048148436	0.04254413263071813	0.052622184112089604	0.06485490643835118	0.07948599039941914	0.09774270985282107	0.12048026920606494	0.14836326485604714	0.18266192687862504	0.2227013689842985	0.27082605337042587	0.32679653586943536	0.39635767985513815	0.4809445170166796	0.5781653823160271	0.65988787270628
BON_B14_48_CHX_1 - illumina_universal_adapter	6.195586856125245e-05	8.475348253400768e-05	0.0001670931000591354	0.0004280587282413806	0.0005337323741856813	0.000709408105387501	0.0008011349757249398	0.0009027855133211071	0.001036084503255923	0.0013158246370627903	0.001670931000591354	0.002089468372408819	0.0024831965760794624	0.002834548038483102	0.0031649793374764483	0.0034472674399037995	0.00374189307459876	0.004010368505030854	0.004274552619891606	0.004581649890465779	0.0049028280402584196	0.005312916884544805	0.00593555995322423	0.006698207192418696	0.007673810966841015	0.008868271835401786	0.010304521515685365	0.01193776940141587	0.013921564127880388	0.016471276095315655	0.01977290701301703	0.023664727925389557	0.028076066229117694	0.03369849424924555	0.041185901195956394	0.05051696459500511	0.06202305447066628	0.07625560487385737	0.09434631618290827	0.11689731361392294	0.14517520577850532	0.18036680963935472	0.22517216731251502	0.27934144376956715	0.34596894574467196	0.42498225728756306	0.5215432946161187	0.6411484283555586	0.7819544043643795	0.9017499652322977
BON_B15-125_1_2 - illumina_universal_adapter	3.5502528528120195e-05	3.867239714670236e-05	5.325379279218029e-05	9.065824249144978e-05	0.0001325005082567343	0.0001952639069046611	0.00023013246170906483	0.00025675935810515497	0.00029733367642300663	0.000359463101347217	0.00039876947221763575	0.0004608988971418461	0.00048562387236678696	0.0005363417702641015	0.0005876936418851325	0.0006352416711638649	0.0006932502668839185	0.0007297037559976133	0.0007696441005917486	0.0008105354057714583	0.0008593513824976237	0.0009157750439083861	0.0010219656426308885	0.0011024803055428754	0.0011963084166529074	0.001310106700060007	0.0014508488667250548	0.0016099762713778793	0.0018344029695734963	0.002258531390739789	0.002767295304022226	0.0033638645780393883	0.004017174500329172	0.004912345398216774	0.006051279192873344	0.007564574471384467	0.009088013329475054	0.011079958769392082	0.013277311695793237	0.01596662823179834	0.01944777794872527	0.023742949926904094	0.02896816135777493	0.03547685259230968	0.0436760347611343	0.05330894850614362	0.06524603975000032	0.07997863812858463	0.09745222190165692	0.11210113574871067
BON_B15-95_CHX_1 - illumina_universal_adapter	2.843567968330046e-05	4.0114619553227436e-05	0.00010409489884065347	0.0002086975776756516	0.00024779663724018976	0.0003229480764031981	0.0003645860359394595	0.00040216175552096366	0.00046563425481404506	0.0005570346537960822	0.0006669690225716992	0.0007939140211578621	0.0008990244799872047	0.000988901538986208	0.001073954688038937	0.0011562150471227705	0.0012257809063479876	0.0013128651753780954	0.0014281312340943312	0.0015609157026154575	0.0017541259904635972	0.0020618406670364557	0.0025046248221049913	0.0030763850957370685	0.0037997176976810243	0.004705851097589054	0.005842770504926728	0.007129738900593246	0.008881579881082291	0.011170652095587978	0.014240943831392912	0.0177474185823399	0.021951075265522094	0.027210152666949643	0.033796566973594115	0.04200889282213016	0.05221095457850572	0.06395235138773708	0.07861449872443887	0.09668892762313674	0.1186742780382771	0.1458473627656396	0.17872865629942747	0.21767208129569898	0.26447949506438606	0.3169306295802168	0.3805366750118109	0.45720840747788705	0.5457586373516677	0.619414410541334
BON_B15-98_1_2 - illumina_universal_adapter	3.0642179855645496e-05	3.709316508841297e-05	7.741182279320967e-05	0.00011934322680619825	0.00015643639189461122	0.0002104633932190388	0.00023465458784191682	0.00025562028984841114	0.00031045366432693464	0.00035319144149401917	0.0004443116079068597	0.0005293839756639807	0.0005789759246408807	0.0006104244776506221	0.0006684833447455293	0.0007245262789551968	0.0007886329447058236	0.0008281452292565243	0.0008587874091121699	0.0009095889178202137	0.0009575681204889218	0.0010099823755051573	0.0010676380560230166	0.001139002080160507	0.0012176234626848606	0.001356722831766409	0.001542188657208474	0.0017369277739226422	0.0020034341013513484	0.0024102493575927472	0.0028920573171650676	0.0034359560096027756	0.004070168495299228	0.005012818712437375	0.006178027920105999	0.0077815009370257645	0.009472868627741986	0.011691201174659901	0.013791803241079809	0.01633591054225248	0.019639218168006477	0.02378760485925301	0.029152808640030305	0.03548485383256863	0.04350786352924613	0.052710597150365975	0.06449977266324852	0.07853711652975055	0.09472586397138053	0.10865071878288617
BON_B16-108_CHX-_1 - illumina_universal_adapter	4.400119034799152e-05	5.8764747635804464e-05	0.0001076871237464003	0.0002087161726375124	0.00025792803026355554	0.0003745890809888225	0.00043740656984088937	0.0004996450956620616	0.0005876474763580447	0.000750915051070329	0.0009687498914444318	0.0012017825113795184	0.0014290255010056588	0.0016242807831748712	0.0018221413989831093	0.0020126202361474407	0.0022142441116564946	0.002416591690954166	0.0026365976426941233	0.0028994468587202832	0.0032035471906976852	0.003575386197289758	0.004086321072054265	0.0047037851445033835	0.005517228202910332	0.006594533662647506	0.0078100665460107705	0.0091911828562099	0.01085222779184658	0.013189501547568181	0.016107185741761648	0.019451565689724448	0.02355279505982425	0.028380478292939083	0.03485386394137188	0.04310061335343493	0.05310567349032495	0.06526679195426655	0.08072872339809614	0.09969613125323495	0.12320072764073722	0.1522552636423954	0.18801752057924093	0.23056681638650645	0.28115660602607884	0.34086824769891144	0.41373146884078865	0.5019980014196174	0.6050516840297679	0.6911623030223029
