Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
BON_B16-108_CHX-_1	0.992925	1.0	0.0	0.0	0.00180674	0.993945	0.991905	0.00177556	0.00183799	0.935524	0.927158	0.942189	0.0282183	0.0171743	0.970408	0.012418	0.963648	0.0214886	0.00538543	0.985137	0.00947781	0.0	0.00342111	0.00506459	0.00835828	0.992	0.483126	56726324.0	1451898.0	0.0	124558099.0	1002461.0	14492025501.0	14462278678.0	143485401.0	143190878.0	25731486.0	26581526.0	1049866.0	124310691.0	270103330.0	0.0	265794188.0	4923476.0	278192858.0	3559945.0	8089528.0	19723918.0	20882091.0	0.0	286676279.0	286676279.0	52313012.0	286676244.0	0.0		286676279.0	980752.0	28954304179.0	142863181.0	345445200.0	288718876.0	0.0	101.0	23885.0	0.0	11809.0	0.437222	0.395516	0.312487	0.39539	0.155797	0.701493	5.07283	3.94147	0.845435	0.159191	0.152923
BON_B16-108_CHX_1	0.991485	1.0	0.0	0.0	0.00196038	0.992373	0.990597	0.00187367	0.00204724	0.910396	0.934296	0.918214	0.0354888	0.0266403	0.953703	0.019657	0.93821	0.0303187	0.0154282	0.968528	0.0160435	0.0	0.00366477	0.00388061	0.0192597	0.981378	0.388717	43290679.0	925689.0	0.0	101429914.0	1922344.0	12057170223.0	12035592482.0	119377923.0	119164282.0	22591123.0	24639770.0	1991874.0	101306686.0	219032767.0	0.0	222869129.0	6354837.0	227498337.0	4689031.0	8465570.0	15044918.0	15673076.0	0.0	238542205.0	238542205.0	47230893.0	238542140.0	0.0		238542205.0	874202.0	24092762705.0	118847172.0	283881460.0	240590781.0	0.0	101.0	25205.0	0.0	10378.0	0.442685	0.402597	0.308546	0.389327	0.165714	0.704348	4.65806	3.80046	0.883389	0.193938	0.18837
BON_B16-50_1_2	0.987202	1.0	0.0	0.0	0.00492418	0.988252	0.986151	0.00607901	0.00376688	0.918144	0.907719	0.930047	0.0299639	0.0238575	0.960011	0.0161312	0.961569	0.0204331	0.00589946	0.982002	0.0120981	0.0	0.00459146	0.0	0.0140286	0.986988	0.458717	25932638.0	634896.0	0.0	42277100.0	557196.0	5034366412.0	5023667078.0	49845212.0	49739278.0	30603975.0	18923564.0	601527.0	42265191.0	92618297.0	0.0	90394748.0	2375838.0	95602232.0	1606420.0	2983935.0	8132741.0	9189742.0	0.0	99584490.0	99584490.0	49527539.0	99584445.0	0.0	0.0	99584490.0	457238.0	10058033490.0	49491597.0	126808175.0	100875537.0	0.0	101.0	20840.0	0.0	8531.0	0.490217	0.488095	0.314912	0.4236	0.2	0.771429	0.0	0.0	0.94087	0.211042	0.205662
BON_B16-57_1_2	0.985626	1.0	0.0	0.0	0.00530973	0.986909	0.984344	0.00648196	0.00413445	0.913879	0.922096	0.927207	0.0383077	0.0161829	0.965514	0.0183029	0.944293	0.0335413	0.00704029	0.977835	0.0151251	0.0	0.00606966	0.0	0.0115454	0.989167	0.429317	12178669.0	600233.0	0.0	34371184.0	376698.0	4060555621.0	4050001323.0	40203521.0	40099023.0	26320356.0	16744515.0	401465.0	34397170.0	74457041.0	0.0	74046667.0	1299529.0	77533249.0	1469766.0	3076208.0	5250937.0	6255877.0	0.0	80302544.0	80302544.0	43064871.0	80302508.0	0.0	0.0	80302544.0	487409.0	8110556944.0	39888349.0	93652302.0	81473633.0	0.0	101.0	20861.0	0.0	7982.0	0.504197	0.501548	0.31551	0.425895	0.219048	0.791304	0.0	0.0	0.932878	0.211141	0.206406
BON_B17-28_1	0.989583	1.0	0.0	0.0	0.00208179	0.990861	0.988306	0.00186545	0.00229868	0.917781	0.910873	0.927442	0.0353197	0.0230391	0.962761	0.0141997	0.956864	0.0258942	0.00626669	0.982759	0.0109746	0.0	0.00276628	0.0	0.010374	0.990085	0.49644	70423088.0	1911492.0	0.0	117894457.0	1176895.0	13678278601.0	13643010310.0	135428501.0	135079310.0	25516142.0	31360945.0	1235858.0	117516172.0	250880170.0	0.0	246398290.0	6232252.0	260434427.0	3841132.0	9554257.0	22869903.0	24109521.0	0.0	270507811.0	270507811.0	56877087.0	270507336.0	0.0	0.0	270507811.0	748299.0	27321288911.0	134696562.0	343778311.0	273355223.0	0.0	101.0	23858.0	0.0	11747.0	0.410745	0.35	0.30719	0.362847	0.136364	0.659722	0.0	0.0	0.861926	0.171733	0.164891
BON_B17-54_1	0.993174	1.0	0.0	0.0	0.00284326	0.994653	0.991694	0.00246673	0.00322091	0.915552	0.913586	0.921844	0.0358477	0.0301606	0.957692	0.0121472	0.962587	0.0217292	0.00628762	0.984316	0.00939651	0.0	0.00265814	0.00450528	0.0109411	0.989783	0.446421	45098948.0	645521.0	0.0	60985413.0	628724.0	7246469119.0	7224917436.0	71747219.0	71533836.0	17875111.0	23270843.0	674626.0	60906865.0	132082849.0	0.0	130899549.0	4321448.0	137219140.0	1740467.0	5136291.0	11648719.0	12381506.0	0.0	143281055.0	143281055.0	41145954.0	143281021.0	0.0		143281055.0	380861.0	14471386555.0	71444721.0	189364829.0	144265881.0	0.0	101.0	21274.0	0.0	10125.0	0.434194	0.38806	0.306737	0.377657	0.160839	0.689655	2.45798	2.39376	0.859674	0.167915	0.157882
BON_B18-23_CHX_1	0.992521	1.0	0.0	0.0	0.00513497	0.995597	0.989444	0.00292028	0.00736343	0.901224	0.927051	0.908015	0.0416205	0.0301919	0.949636	0.0201723	0.933503	0.0337131	0.0157248	0.967216	0.0170595	0.0	0.00361881	0.00395252	0.0185699	0.981954	0.395859	27953012.0	546040.0	0.0	58803775.0	1074820.0	6998183849.0	6954934134.0	69288949.0	68860734.0	20436656.0	51212204.0	1112639.0	58486392.0	125442020.0	0.0	128071771.0	4171004.0	131191885.0	2786794.0	5749865.0	8694939.0	10077912.0	0.0	138149683.0	138149683.0	71648860.0	138149558.0	0.0		138149683.0	499938.0	13953117983.0	68779892.0	167143754.0	139190742.0	0.0	101.0	24432.0	0.0	9605.0	0.417595	0.362069	0.309064	0.37207	0.141176	0.666667	3.67712	3.02581	0.907636	0.185576	0.187649
BON_B18-37_1	0.993144	1.0	0.0	0.0	0.00303794	0.99485	0.991439	0.00255116	0.00352639	0.921631	0.924988	0.927993	0.0363992	0.0227852	0.964393	0.0128221	0.956802	0.0264305	0.0062578	0.983233	0.0105095	0.0	0.00463716	0.00712743	0.00946731	0.991279	0.434698	24727880.0	772120.0	0.0	46417477.0	408526.0	5480095471.0	5461305532.0	54258371.0	54072332.0	13980573.0	19258706.0	443649.0	46437726.0	100530186.0	0.0	100204570.0	2468339.0	104473342.0	1389022.0	3943156.0	7207102.0	8126133.0	0.0	108330703.0	108330703.0	33239279.0	108330692.0	0.0		108330703.0	502347.0	10941401003.0	53992086.0	133806394.0	109078514.0	0.0	101.0	20681.0	0.0	8961.0	0.433431	0.38985	0.306855	0.375108	0.159091	0.684211	2.05	2.05828	0.864542	0.183044	0.17183
BON_B18_65_CHX_1	0.992451	1.0	0.0	0.0	0.00191562	0.994169	0.990732	0.0017554	0.0020764	0.895727	0.916355	0.90254	0.0419804	0.0364495	0.944521	0.0190296	0.939686	0.0309676	0.0135993	0.970653	0.0157476	0.0	0.0043119	0.00376787	0.0208761	0.979363	0.391023	22663082.0	283593.0	0.0	31791398.0	667785.0	3807516382.0	3794355476.0	37698182.0	37567876.0	6683727.0	7878598.0	677832.0	31690774.0	67930665.0	0.0	68970415.0	2743408.0	71090366.0	1432284.0	3159701.0	6036095.0	6295643.0	0.0	75266058.0	75266058.0	14562325.0	75266044.0	0.0		75266058.0	324540.0	7601871858.0	37486917.0	98501670.0	75838588.0	0.0	101.0	20818.0	0.0	6775.0	0.439217	0.4	0.313556	0.39536	0.152174	0.703704	1.2399	1.47163	0.98163	0.224998	0.227087
BON_B19-03_CHX_1	0.99302	1.0	0.0	0.0	0.00183768	0.994596	0.991443	0.00172877	0.00194694	0.908565	0.927614	0.914952	0.0370005	0.0303543	0.951952	0.0176934	0.942254	0.0291695	0.0140074	0.971423	0.0145695	0.0	0.00346025	0.00517165	0.0190711	0.98125	0.400286	20224735.0	453706.0	0.0	37275086.0	711228.0	4437370663.0	4423305201.0	43934363.0	43795101.0	7671187.0	8611893.0	724696.0	37221428.0	80268231.0	0.0	81379113.0	2662969.0	83514265.0	1552230.0	3246034.0	5902569.0	6350351.0	0.0	87729464.0	87729464.0	16283080.0	87729443.0	0.0		87729464.0	303566.0	8860675864.0	43702192.0	108570898.0	88346163.0	0.0	101.0	22161.0	0.0	7893.0	0.449939	0.414425	0.313641	0.403807	0.164384	0.723404	1.97817	2.00587	0.951509	0.210698	0.210513
