Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
BON_B17-23_1	125146307.0	202.0	115668489.0	92.43	200.62	83830766.0	83829622.0	82785360.0	975634.0	45260.0	24512.0	0.23	0.01	1.62	0.01	1.51	6605263.0	5.28	8251.0	0.01	0.02	0.94	0.07	55618	2614025	194661
BON_B17-28_1	136650150.0	202.0	124144180.0	90.85	200.22	121538868.0	121537638.0	120568428.0	854733.0	84153.0	31554.0	0.19	0.01	2.21	0.01	1.67	10278782.0	7.52	17254.0	0.01	0.01	0.56	0.05	35644	1996069	178220
BON_B18-23_CHX_1	69578158.0	202.0	65091525.0	93.55	200.13	51125853.0	51125187.0	50604453.0	467735.0	36811.0	16854.0	0.5	0.01	1.91	0.01	1.52	3885346.0	5.58	18054.0	0.03	0.02	0.2	0.08	38882	388822	155529
BON_B18-24_1	41943582.0	202.0	39029703.0	93.05	200.73	27688419.0	27688128.0	27377440.0	290493.0	12695.0	7791.0	0.22	0.01	1.63	0.01	1.46	2051171.0	4.89	2651.0	0.01	0.02	0.4	0.09	33728	674555	151775
BON_B18-25_1	44172117.0	202.0	40733549.0	92.22	200.66	27083580.0	27083266.0	26807586.0	245190.0	22684.0	8120.0	0.17	0.01	1.55	0.01	1.52	2145671.0	4.86	3345.0	0.01	0.01	0.54	0.06	21140	1141571	126841
BON_B18-54_1	47039976.0	202.0	43135986.0	91.7	200.52	27520348.0	27519973.0	27241127.0	258047.0	13154.0	8020.0	0.19	0.01	1.57	0.01	1.56	2296048.0	4.88	3875.0	0.01	0.02	0.46	0.06	59410	1366427	178230
BON_B18_65_CHX_1	37912087.0	202.0	34758826.0	91.68	200.53	27470050.0	27469552.0	27219045.0	223562.0	17968.0	9475.0	0.18	0.01	1.92	0.01	1.57	2786950.0	7.35	9513.0	0.03	0.02	0.22	0.1	20988	230869	104941
BON_B19-03_CHX_1	44163570.0	202.0	40981680.0	92.8	200.57	32734014.0	32733678.0	32438356.0	256206.0	27498.0	11954.0	0.17	0.01	1.81	0.01	1.66	2706729.0	6.13	7774.0	0.02	0.02	0.23	0.06	30154	346771	90462
BON_B19-45_CHX_1	69449646.0	202.0	65066470.0	93.69	200.17	48954235.0	48953003.0	48451788.0	441689.0	42419.0	18339.0	0.52	0.01	1.87	0.01	1.54	3841306.0	5.53	10867.0	0.02	0.04	0.2	0.07	68517	342583	119904
BON_B19-52_CHX_1	43080096.0	202.0	39760491.0	92.29	200.58	32835357.0	32835058.0	32503232.0	296223.0	24542.0	11360.0	0.15	0.01	1.94	0.01	1.58	2843893.0	6.6	8881.0	0.02	0.01	0.3	0.09	11671	350123	105037
BON_B19-54_CHX_1	69481782.0	202.0	64518789.0	92.86	200.17	50533317.0	50532857.0	49973652.0	508918.0	35307.0	15440.0	0.46	0.01	2.06	0.01	1.54	4466597.0	6.43	11541.0	0.02	0.02	0.21	0.05	34633	363641	86581
BON_B19-57_1	61575123.0	202.0	57430158.0	93.27	200.01	41362259.0	41361819.0	40895778.0	432574.0	22837.0	11070.0	0.51	0.0	1.62	0.0	1.47	3299852.0	5.36	3468.0	0.01	0.03	0.34	0.07	57385	650362	133898
BON_B19-59_CHX_1	72242163.0	202.0	67061246.0	92.83	200.13	50765664.0	50764852.0	50232078.0	475682.0	40265.0	17639.0	0.49	0.01	1.97	0.01	1.57	4640575.0	6.42	14741.0	0.02	0.04	0.18	0.07	72497	326235	126869
BON_B20_36_CHX_1	48436275.0	202.0	43294912.0	89.39	200.43	35684902.0	35684445.0	35341901.0	302167.0	27702.0	13132.0	0.17	0.01	1.88	0.01	1.62	3758372.0	7.76	6761.0	0.01	0.38	1.61	0.07	253868	1075597	46765
BON_UC219-1_1	27574680.0	202.0	25262170.0	91.61	197.19	17330897.0	17330748.0	17191029.0	127570.0	7590.0	4708.0	0.97	0.01	1.66	0.01	1.49	1176032.0	4.26	2078.0	0.01	0.77	2.29	0.06	279964	832621	21815
BON_UC473_1	29999777.0	202.0	27381516.0	91.27	197.22	17476430.0	17476272.0	17330151.0	132690.0	8718.0	4871.0	0.96	0.01	1.72	0.01	1.47	1356788.0	4.52	2504.0	0.01	0.76	2.33	0.06	303751	931237	23980
CLA_143BN_BB_2	79567266.0	152.0	68475335.0	86.06	148.79	36440839.0	36440519.0	36087340.0	325509.0	19410.0	8580.0	1.06	0.01	1.42	0.0	1.42	7483140.0	9.4	49089.0	0.06	0.65	3.0	0.06	623667	2878465	57569
CLA_179CI_GG_2	29165513.0	152.0	26100017.0	89.49	149.74	19703512.0	19703441.0	19587171.0	107352.0	6746.0	2243.0	0.35	0.01	1.42	0.0	1.41	2468360.0	8.46	71187.0	0.24	0.08	1.11	0.02	34773	482482	8693
CLA_180CJ_DP_2	104786137.0	152.0	86977677.0	83.0	148.2	33838022.0	33837286.0	33535412.0	266942.0	26172.0	9496.0	1.29	0.01	1.4	0.0	1.46	10723719.0	10.23	55118.0	0.05	0.78	5.11	0.02	927768	6078067	23789
CLA_214DF_AB_2	38933816.0	202.0	36553600.0	93.89	200.2	22708115.0	22707892.0	22506276.0	179970.0	14766.0	7103.0	0.27	0.01	1.55	0.01	1.52	1864325.0	4.79	5140.0	0.01	0.06	0.39	0.06	60088	390574	60088
CLA_329FK_RR_2	33781683.0	202.0	31774059.0	94.06	200.25	22620372.0	22620162.0	22418893.0	185654.0	10196.0	5629.0	0.27	0.01	1.52	0.01	1.42	1546652.0	4.58	1990.0	0.01	0.06	0.33	0.05	62588	344236	52157
CLA_338FT_DM_2	31488977.0	202.0	29529695.0	93.78	200.16	20039238.0	20039091.0	19863090.0	160068.0	10986.0	5094.0	0.25	0.01	1.55	0.01	1.49	1411636.0	4.48	2315.0	0.01	0.05	0.38	0.06	55646	422910	66775
CLA_388HV_XX_1	8313999.0	152.0	7455927.0	89.68	149.68	3385584.0	3385518.0	3358244.0	24736.0	1679.0	925.0	0.39	0.01	1.48	0.0	1.43	688463.0	8.28	1958.0	0.02	0.08	1.1	0.04	10994	151161	5497
CLA_62R_CaM_2	448750.0	152.0	407720.0	90.86	149.08	220412.0	220411.0	218985.0	1289.0	93.0	45.0	0.42	0.01	1.38	0.0	1.4	20940.0	4.67	211.0	0.05	0.16	3.6	0.01	844	18983	53
CLA_62R_CaM_3	36106592.0	202.0	33810232.0	93.64	200.14	24184581.0	24184367.0	23886725.0	281648.0	10778.0	5430.0	0.27	0.01	1.5	0.0	1.42	1879220.0	5.2	1779.0	0.0	0.06	0.42	0.05	47022	329154	39185
CLA_79Z_CP_2	28756623.0	152.0	25891859.0	90.04	149.83	14066281.0	14066164.0	13935600.0	120007.0	7221.0	3453.0	0.37	0.01	1.49	0.0	1.44	2273458.0	7.91	3433.0	0.01	0.09	1.05	0.02	45611	532126	10136
HK-006	119174945.0	202.0	112873531.0	94.71	201.02	101551340.0	101550584.0	100633142.0	805755.0	78874.0	33569.0	0.17	0.01	1.8	0.01	1.67	5218659.0	4.38	9121.0	0.01	0.01	0.2	0.06	39764	795284	238585
HK-010	98623203.0	202.0	93607596.0	94.91	201.02	82581261.0	82580772.0	81810909.0	667772.0	74198.0	28382.0	0.18	0.01	1.82	0.01	1.69	4023707.0	4.08	7351.0	0.01	0.01	0.23	0.06	32818	754821	196910
HK-015	102353522.0	202.0	96738120.0	94.51	200.92	87087479.0	87087008.0	86280034.0	698559.0	77969.0	30917.0	0.16	0.01	1.83	0.01	1.6	4447694.0	4.35	6279.0	0.01	0.01	0.22	0.05	41480	912551	207398
HK-022	111105129.0	202.0	105496087.0	94.95	201.01	90389565.0	90389121.0	89535144.0	729869.0	93807.0	30745.0	0.16	0.01	1.79	0.01	1.59	4433416.0	3.99	8454.0	0.01	0.01	0.2	0.06	43229	864572	259372
HK-025	128876946.0	202.0	121379717.0	94.18	200.83	98844421.0	98843764.0	97957690.0	770231.0	80854.0	35646.0	0.17	0.01	1.84	0.01	1.61	5158460.0	4.0	10832.0	0.01	0.01	0.42	0.06	47509	1995375	285054
HK-032	134588418.0	202.0	127105243.0	94.44	200.87	112022390.0	112021497.0	110946120.0	936289.0	98613.0	41368.0	0.17	0.01	1.82	0.01	1.57	5623804.0	4.18	10529.0	0.01	0.01	0.22	0.06	63753	1402570	382519
HK-035	127763452.0	202.0	121211158.0	94.87	201.06	105922307.0	105921720.0	104893343.0	888886.0	96834.0	43244.0	0.16	0.01	1.85	0.01	1.62	5111827.0	4.0	8311.0	0.01	0.01	0.18	0.07	55083	991493	385580
HK-047	104551268.0	202.0	98902817.0	94.6	200.94	88333948.0	88333419.0	87466340.0	741593.0	98171.0	27844.0	0.18	0.01	1.73	0.01	1.64	4444904.0	4.25	6927.0	0.01	0.01	0.18	0.07	46024	828429	322167
HK-061	81890145.0	202.0	77624240.0	94.79	201.05	69548466.0	69548033.0	68928033.0	533665.0	63849.0	22919.0	0.16	0.01	1.83	0.01	1.66	3329540.0	4.07	5425.0	0.01	0.01	0.17	0.06	38789	659416	232735
HK-070	52161601.0	202.0	48957541.0	93.86	200.48	45250185.0	45249984.0	44879981.0	316249.0	39060.0	14895.0	0.16	0.01	1.83	0.01	1.66	2606221.0	5.0	3188.0	0.01	0.01	0.2	0.05	22871	457424	114356
HK-071-001	158018584.0	202.0	147134877.0	93.11	200.95	139987180.0	139985994.0	138804036.0	1042654.0	100024.0	40466.0	0.16	0.01	1.81	0.01	1.72	8612692.0	5.45	17257.0	0.01	0.01	0.38	0.05	51222	1946427	256109
HK-071-004	45919323.0	202.0	43149605.0	93.97	200.64	38700195.0	38699953.0	38400160.0	258175.0	30483.0	11377.0	0.18	0.01	1.94	0.01	1.66	2266193.0	4.94	1783.0	0.0	0.01	0.26	0.05	15679	407665	78397
HK-073	124382135.0	202.0	117976887.0	94.85	200.93	104083812.0	104083079.0	103140931.0	810497.0	94280.0	38104.0	0.18	0.01	1.77	0.01	1.63	5232598.0	4.21	8560.0	0.01	0.01	0.22	0.06	40141	883103	240846
HK-075	116335357.0	202.0	109973609.0	94.53	200.89	96541600.0	96541099.0	95650153.0	770538.0	87441.0	33468.0	0.17	0.01	1.8	0.01	1.6	4886068.0	4.2	8718.0	0.01	0.01	0.21	0.06	52392	1100221	314349
HK-081	119954694.0	202.0	113596761.0	94.7	201.02	102893545.0	102892613.0	101978202.0	789079.0	91345.0	34919.0	0.16	0.01	1.76	0.01	1.63	5225887.0	4.36	7515.0	0.01	0.01	0.21	0.05	41649	874635	208246
HK-085	138647296.0	202.0	130716259.0	94.28	200.85	114198084.0	114197358.0	113137418.0	919786.0	102598.0	38282.0	0.17	0.01	1.8	0.01	1.58	6123428.0	4.42	8218.0	0.01	0.01	0.35	0.06	42843	1499492	257056
HK-087	122643342.0	202.0	115375129.0	94.07	200.87	102254084.0	102253509.0	101352843.0	766144.0	98820.0	36277.0	0.17	0.01	1.73	0.01	1.57	5237913.0	4.27	7498.0	0.01	0.01	0.3	0.06	54670	1640110	328022
HK-095	120040030.0	202.0	111797567.0	93.13	200.7	87782756.0	87782025.0	86879778.0	786615.0	79506.0	36857.0	0.16	0.01	1.71	0.01	1.67	5062145.0	4.22	7115.0	0.01	0.01	1.07	0.05	28081	3004714	140407
HK-100	138233048.0	202.0	129163706.0	93.44	200.87	110129218.0	110128390.0	109145245.0	828096.0	127259.0	28618.0	0.17	0.01	1.78	0.01	1.72	6476638.0	4.69	11576.0	0.01	0.01	0.26	0.06	78216	2033616	469296
HK-104	106047641.0	202.0	99555343.0	93.88	200.99	91883676.0	91883116.0	91054459.0	716839.0	84370.0	28008.0	0.17	0.01	1.78	0.01	1.63	5035441.0	4.75	8009.0	0.01	0.01	0.18	0.06	57954	1043171	347724
HK-107	113795950.0	202.0	107974351.0	94.88	200.96	94559428.0	94558735.0	93694455.0	751432.0	81578.0	31963.0	0.17	0.01	1.78	0.01	1.66	4645111.0	4.08	7788.0	0.01	0.01	0.18	0.07	44950	809100	314650
HK-108	124349413.0	202.0	117758839.0	94.7	200.99	104526499.0	104525865.0	103566461.0	830397.0	96476.0	33165.0	0.16	0.01	1.83	0.01	1.64	5207514.0	4.19	10624.0	0.01	0.01	0.18	0.07	52786	950148	369502
HK-114	47340522.0	202.0	44569143.0	94.15	200.68	40788309.0	40788142.0	40447338.0	288841.0	38761.0	13369.0	0.16	0.01	1.88	0.01	1.63	2270954.0	4.8	2680.0	0.01	0.01	0.25	0.05	16056	401407	80281
HK-115	125116867.0	202.0	118489849.0	94.7	200.97	103937839.0	103937262.0	102954012.0	850900.0	95777.0	37150.0	0.17	0.01	1.77	0.01	1.68	5193134.0	4.15	7242.0	0.01	0.01	0.2	0.07	50952	1019030	356660
HK-116	103095076.0	202.0	97302653.0	94.38	200.81	87114945.0	87114324.0	86313555.0	689273.0	82615.0	29502.0	0.17	0.01	1.81	0.01	1.6	4353678.0	4.22	8646.0	0.01	0.01	0.18	0.06	57204	1029671	343224
HK-119	112379863.0	202.0	106348018.0	94.63	201.08	99091716.0	99090989.0	98207676.0	765504.0	85396.0	33140.0	0.16	0.01	1.81	0.01	1.71	5069522.0	4.51	8275.0	0.01	0.01	0.19	0.06	36694	697189	220165
HK-124	127486863.0	202.0	120806565.0	94.76	201.03	108399018.0	108398281.0	107421458.0	854398.0	87422.0	35740.0	0.17	0.01	1.82	0.01	1.64	5380012.0	4.22	7315.0	0.01	0.01	0.21	0.07	44585	936289	312096
HK-126	145225149.0	202.0	138073000.0	95.08	200.98	120543091.0	120542505.0	119360203.0	1013246.0	126638.0	43004.0	0.17	0.01	1.78	0.01	1.58	5755948.0	3.96	13660.0	0.01	0.01	0.17	0.05	60110	1021878	300552
HK-127	111842198.0	202.0	106338498.0	95.08	200.99	93272892.0	93272199.0	92388023.0	763723.0	89394.0	31752.0	0.17	0.01	1.77	0.01	1.54	4472134.0	4.0	7858.0	0.01	0.01	0.19	0.07	37915	720387	265406
HK-131	108089581.0	202.0	102589571.0	94.91	201.03	88772552.0	88772048.0	87932480.0	734488.0	74042.0	31542.0	0.16	0.01	1.81	0.01	1.61	4472151.0	4.14	9196.0	0.01	0.01	0.2	0.07	36381	727616	254666
HK-133	40342088.0	202.0	37920481.0	94.0	200.38	34093310.0	34093210.0	33809678.0	243487.0	28930.0	11215.0	0.18	0.01	2.04	0.01	1.69	1891269.0	4.69	2021.0	0.01	0.01	0.29	0.05	15095	437748	75474
HK-134	121625184.0	202.0	114976083.0	94.53	200.92	87929627.0	87928859.0	87104643.0	687692.0	108934.0	28358.0	0.17	0.01	1.84	0.01	1.8	5112653.0	4.2	12392.0	0.01	0.01	0.27	0.06	44825	1210280	268951
HK-139	73471609.0	202.0	69711508.0	94.88	201.01	63416560.0	63416225.0	62851247.0	485667.0	59514.0	20132.0	0.17	0.01	1.88	0.01	1.71	2971717.0	4.04	4694.0	0.01	0.01	0.23	0.05	27024	621547	135119
HK006_0016	43720834.0	202.0	41061307.0	93.92	200.93	35849393.0	35849289.0	35545151.0	266967.0	27095.0	10180.0	0.17	0.01	1.85	0.01	1.57	2202356.0	5.04	3417.0	0.01	0.01	0.22	0.06	15647	344227	93880
HK010_0026	94076520.0	202.0	88692305.0	94.28	200.92	76260011.0	76259625.0	75589468.0	582079.0	59668.0	28796.0	0.2	0.01	1.85	0.01	1.6	4313022.0	4.58	9928.0	0.01	0.01	0.16	0.06	46142	738271	276852
HK011_0029	51124079.0	202.0	46386576.0	90.73	200.9	45216055.0	45215732.0	44868318.0	305217.0	29855.0	12665.0	0.16	0.01	1.82	0.01	1.64	3781912.0	7.4	3356.0	0.01	0.01	0.35	0.05	23225	812884	116126
HK018_0047_2	47483764.0	202.0	43929757.0	92.52	199.68	37592678.0	37592458.0	37294424.0	262397.0	23292.0	12565.0	0.43	0.01	1.59	0.01	1.65	2695475.0	5.68	4402.0	0.01	0.08	0.51	0.05	106766	680635	66729
HK024_0065	57721259.0	202.0	52281923.0	90.58	201.0	50441744.0	50441378.0	50062715.0	331914.0	32416.0	14699.0	0.15	0.0	1.79	0.01	1.71	4522685.0	7.84	4899.0	0.01	0.01	0.41	0.06	18995	778788	113969
HK028_0073	52686993.0	202.0	48686330.0	92.41	200.91	43998543.0	43998216.0	43622500.0	325734.0	37813.0	12496.0	0.16	0.01	1.93	0.01	1.61	3048610.0	5.79	3552.0	0.01	0.01	0.32	0.05	24961	798738	124803
HK044_0109	47634662.0	202.0	44338192.0	93.08	200.94	41019183.0	41018884.0	40705232.0	273507.0	28151.0	12293.0	0.15	0.01	1.78	0.01	1.56	2275497.0	4.78	3333.0	0.01	0.01	0.34	0.05	25441	864994	127205
HK044_0110	65245585.0	202.0	58671892.0	89.92	200.72	54167388.0	54167077.0	53726362.0	391353.0	34090.0	15583.0	0.19	0.0	1.81	0.01	1.52	5844118.0	8.96	11407.0	0.02	0.01	0.13	0.07	34198	444580	239389
HK060-0154	57489775.0	202.0	53114902.0	92.39	200.11	42248050.0	42247599.0	41711193.0	503162.0	21570.0	12125.0	0.17	0.01	1.58	0.0	1.51	2806232.0	4.88	2148.0	0.0	0.02	2.03	0.05	14919	1514277	37297
HK069-0177_2	44216519.0	202.0	41414338.0	93.66	200.52	38210250.0	38210105.0	37882868.0	303691.0	15225.0	8466.0	0.2	0.0	1.37	0.0	1.46	2046624.0	4.63	850.0	0.0	0.03	0.87	0.04	24086	698505	32115
HK072-001_2	67488767.0	202.0	62921983.0	93.23	200.36	54879975.0	54879587.0	54430152.0	407711.0	26091.0	16021.0	0.2	0.0	1.47	0.0	1.45	3708335.0	5.49	2180.0	0.0	0.04	0.92	0.03	34597	795725	25948
HK085-001	89977167.0	202.0	84602297.0	94.03	200.82	72332756.0	72332427.0	71599220.0	634463.0	59804.0	39269.0	0.21	0.01	1.76	0.01	1.51	4035335.0	4.48	6494.0	0.01	0.01	0.2	0.05	51271	1025416	256354
HK088-001_2	44306707.0	202.0	42265043.0	95.39	199.78	34630918.0	34630742.0	34268757.0	322656.0	29108.0	10397.0	0.31	0.01	1.61	0.01	1.49	1547525.0	3.49	3367.0	0.01	0.08	0.51	0.09	57738	368079	64955
HK101-001	109202606.0	202.0	100442487.0	91.98	200.65	95223564.0	95222965.0	94462962.0	668073.0	61161.0	31368.0	0.21	0.01	1.96	0.01	1.58	6654861.0	6.09	8686.0	0.01	0.01	0.39	0.05	46590	1817029	232952
HK106-001	49798725.0	202.0	45266597.0	90.9	200.87	44636343.0	44635948.0	44308104.0	278964.0	37551.0	11724.0	0.16	0.0	1.78	0.01	1.64	3558119.0	7.15	4171.0	0.01	0.01	0.4	0.05	21083	843337	105417
HK117_001	69165747.0	202.0	62769581.0	90.75	200.77	59044045.0	59043680.0	58592438.0	399259.0	34172.0	18176.0	0.19	0.01	1.9	0.01	1.54	5637438.0	8.15	10672.0	0.02	0.01	0.11	0.05	44003	484036	220016
ICCV_458_10CC06258_02	59235596.0	202.0	54863117.0	92.62	199.55	47690122.0	47689830.0	47286098.0	366190.0	25740.0	12094.0	0.35	0.01	1.79	0.0	1.51	3315763.0	5.6	2486.0	0.0	0.13	0.92	0.06	123468	873776	56985
INMR_GB_408	46203791.0	202.0	42451323.0	91.88	200.7	34332234.0	34331867.0	34014372.0	287994.0	18256.0	11612.0	0.16	0.01	1.67	0.01	1.56	2601728.0	5.63	6988.0	0.02	0.02	0.42	0.09	43160	906370	194222
INMR_GI_456	45065154.0	202.0	40767447.0	90.46	200.46	34460412.0	34460184.0	34100908.0	334751.0	15783.0	8970.0	0.16	0.01	1.59	0.0	1.51	2692350.0	5.97	3589.0	0.01	0.01	0.34	0.07	38137	1296669	266961
INMR_HW_389	108278527.0	202.0	99702683.0	92.08	200.57	70180501.0	70179779.0	69371628.0	744116.0	44853.0	19904.0	0.21	0.01	1.6	0.01	1.55	6584100.0	6.08	8785.0	0.01	0.02	0.4	0.08	79318	1586367	317273
INMR_HZ_401	115622079.0	202.0	106779156.0	92.35	200.71	84952281.0	84951483.0	83980814.0	891284.0	55449.0	24734.0	0.19	0.01	1.62	0.01	1.51	6583108.0	5.69	19282.0	0.02	0.01	0.4	0.12	42274	1690968	507290
INMR_IG_561	115869356.0	202.0	106980249.0	92.33	200.59	84447883.0	84447152.0	83481802.0	867847.0	63780.0	34454.0	0.21	0.01	1.54	0.01	1.51	6783448.0	5.85	11886.0	0.01	0.02	0.31	0.09	99703	1545404	448666
INMR_IK_581	105608663.0	202.0	96458023.0	91.34	200.63	70932640.0	70931785.0	70212063.0	653468.0	44759.0	22350.0	0.2	0.01	1.7	0.01	1.63	7009598.0	6.64	11702.0	0.01	0.02	0.35	0.06	99039	1733184	297117
INMR_IV_615	81830585.0	202.0	75414743.0	92.16	200.65	60747836.0	60747401.0	60213653.0	470754.0	46160.0	17269.0	0.19	0.01	1.66	0.01	1.65	4704311.0	5.75	6539.0	0.01	0.01	0.27	0.04	53281	1438587	213124
K1157-1-4	70360844.0	202.0	64472527.0	91.63	200.35	55360705.0	55360458.0	54954884.0	359187.0	34505.0	12129.0	0.27	0.01	1.53	0.0	1.59	5017303.0	7.13	6772.0	0.01	0.07	0.33	0.07	128717	606808	128717
LIA_EDW01_1	27443447.0	202.0	25195246.0	91.81	200.3	21805402.0	21805292.0	21619281.0	171688.0	9348.0	5085.0	0.22	0.01	1.61	0.0	1.44	1743336.0	6.35	1599.0	0.01	0.04	1.17	0.07	15727	460017	27522
LIA_MAS02_2	85022336.0	202.0	77010493.0	90.58	199.57	61029319.0	61028840.0	60477478.0	508636.0	27772.0	15433.0	0.27	0.01	1.57	0.0	1.49	6872031.0	8.08	10844.0	0.01	0.05	0.64	0.08	73310	938363	117295
LIA_TIS03_2	25267976.0	202.0	23373093.0	92.5	200.01	17803129.0	17802935.0	17660202.0	127953.0	9703.0	5271.0	0.23	0.01	1.54	0.01	1.52	1517170.0	6.0	2149.0	0.01	0.04	0.61	0.07	20865	318186	36513
MAN_0063_01_02	1738989.0	202.0	1600202.0	92.02	198.89	973004.0	973002.0	967881.0	4338.0	428.0	357.0	0.5	0.01	1.72	0.01	2.12	67316.0	3.87	199.0	0.01	0.22	3.34	0.02	4380	66494	398
MAN_0063_01_03	347731.0	202.0	262809.0	75.58	197.41	80737.0	80729.0	80223.0	436.0	39.0	39.0	0.58	0.01	1.62	0.01	1.77	33477.0	9.63	146.0	0.04	0.57	13.85	0.12	2011	48865	423
MAN_0694_01	31641424.0	202.0	17471925.0	55.22	200.67	14230024.0	14229797.0	14147649.0	74699.0	4763.0	2913.0	0.22	0.01	2.19	0.0	1.67	13464804.0	42.55	2866.0	0.01	0.02	1.89	0.08	7054	666561	28214
MAN_1001_01_M1_D1	76328849.0	202.0	71307125.0	93.42	200.79	66640322.0	66639978.0	66038537.0	554570.0	27448.0	19767.0	0.19	0.01	1.69	0.0	1.46	3912517.0	5.13	5028.0	0.01	0.01	0.59	0.08	16238	958038	129903
MAN_1438-01-M1	83716101.0	202.0	77768160.0	92.9	200.54	57427547.0	57426948.0	56833029.0	542400.0	32492.0	19626.0	0.18	0.01	1.62	0.01	1.59	4804319.0	5.74	4635.0	0.01	0.01	0.49	0.05	20709	1014734	103544
MBEL028_001_3	34068287.0	202.0	32411434.0	95.14	200.66	27820929.0	27820806.0	27568112.0	235094.0	11270.0	6453.0	0.2	0.01	1.53	0.0	1.43	1345221.0	3.95	729.0	0.0	0.04	0.43	0.03	24872	267377	18654
MBEL028_002_1	36870722.0	202.0	34942697.0	94.77	200.68	28616046.0	28615903.0	28301263.0	290000.0	17859.0	6924.0	0.2	0.01	1.48	0.0	1.45	1546766.0	4.2	1028.0	0.0	0.03	0.55	0.04	18398	337302	24531
MBRU030_2	33466380.0	202.0	31893247.0	95.3	200.63	28377755.0	28377606.0	28111579.0	245833.0	12393.0	7950.0	0.21	0.01	1.63	0.0	1.49	1262341.0	3.77	1252.0	0.0	0.03	0.4	0.04	19758	263438	26344
MCOP008_001_2	38018409.0	202.0	35806710.0	94.18	200.6	30373234.0	30373045.0	30043539.0	309839.0	12539.0	7317.0	0.21	0.01	1.39	0.0	1.45	1706256.0	4.49	807.0	0.0	0.03	0.57	0.05	23291	442527	38818
MESP014_2	33575428.0	202.0	30594885.0	91.12	200.15	24364757.0	24364630.0	24198290.0	141754.0	18207.0	6506.0	0.19	0.01	1.81	0.01	1.78	2564196.0	7.64	2856.0	0.01	0.03	0.52	0.04	21025	364433	28033
MESP021_001_2	38345852.0	202.0	36363614.0	94.83	200.6	30257524.0	30257413.0	29985298.0	251151.0	13353.0	7722.0	0.22	0.01	1.43	0.0	1.49	1531679.0	3.99	988.0	0.0	0.04	0.64	0.05	24634	394144	30793
MESP039_2	54151285.0	202.0	51163131.0	94.48	199.98	46036552.0	46036377.0	45574516.0	429298.0	19175.0	13563.0	0.41	0.01	1.55	0.0	1.45	2289030.0	4.23	1629.0	0.0	0.07	0.49	0.03	82754	579276	35466
MGLA003_001_2	37297622.0	202.0	34993461.0	93.82	200.58	31566402.0	31566281.0	31285454.0	262541.0	11635.0	6772.0	0.22	0.0	1.41	0.0	1.41	1789479.0	4.8	922.0	0.0	0.03	0.6	0.04	23004	460084	30672
MMAD002_001_2	29820581.0	202.0	28145315.0	94.38	199.82	25655305.0	25655095.0	25424625.0	211731.0	12356.0	6593.0	0.45	0.01	1.57	0.0	1.45	1232449.0	4.13	763.0	0.0	0.09	0.65	0.04	51006	368378	22669
MTEH041_001_2	39594754.0	202.0	37295171.0	94.19	200.16	27880420.0	27880235.0	27621788.0	236417.0	13407.0	8808.0	0.22	0.01	1.6	0.0	1.46	1539841.0	3.89	2017.0	0.01	0.04	1.46	0.04	19681	718363	19681
MUN_FAM1_CTRL_01	48351290.0	202.0	44410106.0	91.85	200.55	33504302.0	33503975.0	33095375.0	383056.0	15606.0	10265.0	0.19	0.01	1.59	0.01	1.49	2646034.0	5.47	2578.0	0.01	0.01	0.28	0.05	38017	1064471	190084
MUN_FAM1_CTRL_02	26790304.0	202.0	24312084.0	90.75	201.0	20825544.0	20825469.0	20604091.0	206537.0	8234.0	6682.0	0.19	0.0	1.47	0.0	1.49	1887455.0	7.05	5514.0	0.02	0.01	1.23	0.05	4537	558030	22684
MUN_FAM1_CTRL_03	39215304.0	202.0	36566571.0	93.25	200.86	27721232.0	27720975.0	27442144.0	249336.0	12738.0	17014.0	0.19	0.01	1.63	0.01	1.53	1753423.0	4.47	1650.0	0.0	0.01	0.57	0.07	13749	783671	96240
MUN_FAM1_CTRL_04	38899214.0	202.0	34251595.0	88.05	200.81	31410843.0	31410694.0	31078485.0	310871.0	14580.0	6907.0	0.21	0.01	1.48	0.0	1.46	3955554.0	10.17	9955.0	0.03	0.01	0.79	0.04	8120	641508	32481
MUN_FAM2_TOTALMDC1A1_02	53626751.0	202.0	50040317.0	93.31	200.77	32527917.0	32527581.0	32204182.0	295618.0	17395.0	10722.0	0.22	0.01	1.71	0.01	1.55	2550874.0	4.76	4346.0	0.01	0.02	0.79	0.06	23706	936390	71118
MUN_FAM2_TOTALMDC1A1_03	46214218.0	202.0	41027811.0	88.78	200.69	32827267.0	32827026.0	32517536.0	278633.0	17967.0	13131.0	0.2	0.01	1.67	0.01	1.56	4194855.0	9.08	12059.0	0.03	0.01	0.74	0.04	12399	917500	49595
MUN_FAM2_TOTALMDC1A1_04	12738163.0	202.0	11758513.0	92.31	200.7	6390920.0	6390807.0	6325315.0	58413.0	4715.0	2477.0	0.21	0.01	1.82	0.01	1.57	506472.0	3.98	1310.0	0.01	0.02	3.1	0.06	2968	459997	8903
