Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
227DJ_JP_M1	54364634.0	152.0	46783972.0	86.06	148.7	24365433.0	24364748.0	24118757.0	228022.0	12321.0	6333.0	1.04	0.01	1.37	0.0	1.39	5377334.0	9.89	13688.0	0.03	0.67	2.71	0.03	430223	1740154	19264
247DT_SH_M1	62138733.0	152.0	54368294.0	87.5	148.59	32098276.0	32097734.0	31745628.0	325537.0	17755.0	9356.0	1.03	0.01	1.43	0.0	1.43	5032623.0	8.1	12761.0	0.02	0.7	3.04	0.02	507324	2203236	14495
250DV_LR_M1	33925388.0	152.0	30941686.0	91.21	149.57	15213570.0	15213347.0	15068504.0	133106.0	8051.0	3909.0	0.29	0.01	1.44	0.0	1.4	2512791.0	7.41	3642.0	0.01	0.05	0.53	0.03	38301	405988	22980
251DW_SD_M1	31777825.0	152.0	29143704.0	91.71	149.67	14764828.0	14764613.0	14640408.0	112330.0	7802.0	4288.0	0.28	0.01	1.49	0.0	1.45	2223277.0	7.0	4096.0	0.01	0.05	0.42	0.03	40675	341668	24405
252DX_DC_M1	35756451.0	152.0	32597897.0	91.17	149.57	17847423.0	17847212.0	17658025.0	175664.0	8867.0	4867.0	0.3	0.01	1.47	0.0	1.41	2590445.0	7.24	3374.0	0.01	0.06	0.5	0.04	56473	470612	37649
253DY_HA_M1	30240585.0	152.0	27971616.0	92.5	149.67	13909215.0	13909011.0	13785231.0	110278.0	8898.0	4808.0	0.29	0.01	1.53	0.01	1.43	1867777.0	6.18	5079.0	0.02	0.06	0.46	0.05	41696	319670	34747
254DZ_WP_M1	68549593.0	152.0	62789929.0	91.6	150.08	34319254.0	34318301.0	33914853.0	378645.0	15363.0	10393.0	0.29	0.01	1.41	0.0	1.38	4711344.0	6.87	6733.0	0.01	0.06	0.65	0.03	84453	914908	42226
255EA_GC_M1	31247621.0	152.0	28709084.0	91.88	149.53	15050595.0	15050428.0	14907968.0	132103.0	7110.0	3414.0	0.28	0.01	1.56	0.0	1.41	2093782.0	6.7	3672.0	0.01	0.06	0.59	0.02	39500	388416	13167
26I_SK_M1	39521667.0	152.0	36228353.0	91.67	149.66	18984928.0	18984494.0	18784078.0	185229.0	9761.0	5860.0	0.3	0.01	1.44	0.0	1.4	2733474.0	6.92	3720.0	0.01	0.06	0.55	0.03	52136	477916	26068
361AL_CC_M1	59694051.0	152.0	51208696.0	85.79	148.54	27485810.0	27485054.0	27185414.0	274080.0	18676.0	7640.0	1.06	0.01	1.36	0.0	1.38	5862566.0	9.82	20319.0	0.03	0.72	3.02	0.05	494401	2073736	34333
373HQ_BTG_M1	94200335.0	152.0	85523268.0	90.79	149.05	40438136.0	40437396.0	40095151.0	299594.0	29069.0	14322.0	0.88	0.01	1.6	0.01	1.55	5678824.0	6.03	14890.0	0.02	0.45	2.24	0.03	493569	2456879	32905
37L_NA_M1	34815829.0	152.0	27626381.0	79.35	149.63	24933242.0	24933008.0	24668912.0	236783.0	19442.0	8105.0	0.37	0.0	1.41	0.0	1.49	6683515.0	19.2	68855.0	0.2	0.07	0.66	0.15	34768	327808	74502
41M_MW_M1	57702707.0	152.0	53242872.0	92.27	149.75	36973192.0	36972996.0	36621484.0	325124.0	18932.0	7652.0	0.3	0.01	1.32	0.0	1.43	3489156.0	6.05	2502.0	0.0	0.06	0.67	0.02	77454	864905	25818
