Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
BON_B09-27-1_1	27859314.0	1501619.0	1876.0	297640.0	835046.0	24803.0
BON_B12-33-2_1	28173088.0	1453032.0	2419.0	287145.0	830393.0	34923.0
BON_B12-71_2	96106670.0	6813417.0	10671.0	18900.0	1133971.0	94498.0
BON_B12-74-1_1	28369706.0	1530806.0	1396.0	300263.0	830865.0	16453.0
BON_B12-76-1_2	37637394.0	1913717.0	2581.0	210276.0	1462590.0	23364.0
BON_B13-55_1_2	93822039.0	6118493.0	5953.0	240942.0	1502344.0	85038.0
BON_B14-163-1_2	30740584.0	1451557.0	2143.0	48072.0	288430.0	36054.0
BON_B14-20_1	22714618.0	1443424.0	1005.0	259886.0	721525.0	17098.0
BON_B14-51_1_2	49288542.0	2552976.0	2798.0	88066.0	479469.0	48925.0
BON_B14-60-1_2	44623939.0	2232894.0	3548.0	80176.0	489963.0	53450.0
BON_B14-71-2_1	27196978.0	1325841.0	2849.0	288886.0	797489.0	20344.0
BON_B14-75-1_1	26226573.0	1472328.0	3127.0	265019.0	761463.0	22396.0
BON_B15-118_1	40547339.0	1919999.0	2370.0	48125.0	256665.0	48125.0
BON_B15-125_1_2	69659388.0	3818459.0	5223.0	154853.0	946326.0	103236.0
BON_B15-26_1_1	49019979.0	2027049.0	2986.0	68838.0	387214.0	51629.0
BON_B15-76-2_2	42258333.0	1962679.0	3061.0	76201.0	457208.0	41564.0
BON_B15-98_1_2	54660321.0	3052951.0	2913.0	136351.0	869238.0	85219.0
BON_B16-19_1	25648886.0	1653428.0	1714.0	261535.0	1609967.0	23776.0
BON_B16-22_1	25240456.0	1229718.0	1913.0	235456.0	622563.0	39908.0
BON_B16-50_1_2	46251067.0	3484822.0	6332.0	92347.0	543820.0	51304.0
BON_B16-53-1_1	90116446.0	9589951.0	6252.0	240439.0	2965418.0	53431.0
BON_B16-57_1_2	37991985.0	2087161.0	2514.0	83081.0	523407.0	41540.0
BON_B16-75-1_2	41194961.0	1994150.0	2475.0	50923.0	322512.0	33949.0
BON_B16_30_1_1	77896207.0	4723618.0	3412.0	231521.0	2229915.0	73112.0
BON_B16_80_1_1	57065914.0	4116990.0	2207.0	185451.0	1149799.0	61817.0
BON_B17-23_1	115668489.0	6605263.0	8251.0	55618.0	2614025.0	194661.0
BON_B17-28_1	124144180.0	10278782.0	17254.0	35644.0	1996069.0	178220.0
BON_B18-24_1	39029703.0	2051171.0	2651.0	33728.0	674555.0	151775.0
BON_B18-25_1	40733549.0	2145671.0	3345.0	21140.0	1141571.0	126841.0
BON_B18-54_1	43135986.0	2296048.0	3875.0	59410.0	1366427.0	178230.0
BON_UC219-1_1	25262170.0	1176032.0	2078.0	279964.0	832621.0	21815.0
BON_UC473_1	27381516.0	1356788.0	2504.0	303751.0	931237.0	23980.0
CLA_143BN_BB_2	68475335.0	7483140.0	49089.0	623667.0	2878465.0	57569.0
CLA_179CI_GG_2	26100017.0	2468360.0	71187.0	34773.0	482482.0	8693.0
CLA_180CJ_DP_2	86977677.0	10723719.0	55118.0	927768.0	6078067.0	23789.0
CLA_214DF_AB_2	36553600.0	1864325.0	5140.0	60088.0	390574.0	60088.0
CLA_329FK_RR_2	31774059.0	1546652.0	1990.0	62588.0	344236.0	52157.0
CLA_338FT_DM_2	29529695.0	1411636.0	2315.0	55646.0	422910.0	66775.0
CLA_388HV_XX_1	7455927.0	688463.0	1958.0	10994.0	151161.0	5497.0
CLA_62R_CaM_2	407720.0	20940.0	211.0	844.0	18983.0	53.0
CLA_62R_CaM_3	33810232.0	1879220.0	1779.0	47022.0	329154.0	39185.0
CLA_79Z_CP_2	25891859.0	2273458.0	3433.0	45611.0	532126.0	10136.0
HK-006	112873531.0	5218659.0	9121.0	39764.0	795284.0	238585.0
HK-010	93607596.0	4023707.0	7351.0	32818.0	754821.0	196910.0
HK-015	96738120.0	4447694.0	6279.0	41480.0	912551.0	207398.0
HK-022	105496087.0	4433416.0	8454.0	43229.0	864572.0	259372.0
HK-025	121379717.0	5158460.0	10832.0	47509.0	1995375.0	285054.0
HK-032	127105243.0	5623804.0	10529.0	63753.0	1402570.0	382519.0
HK-035	121211158.0	5111827.0	8311.0	55083.0	991493.0	385580.0
HK-047	98902817.0	4444904.0	6927.0	46024.0	828429.0	322167.0
HK-061	77624240.0	3329540.0	5425.0	38789.0	659416.0	232735.0
