Sample	Mapping Rate	Unique Rate of Mapped	Duplicate Rate of Mapped	Duplicate Rate of Mapped, excluding Globins	Base Mismatch	End 1 Mapping Rate	End 2 Mapping Rate	End 1 Mismatch Rate	End 2 Mismatch Rate	Expression Profiling Efficiency	High Quality Rate	Exonic Rate	Intronic Rate	Intergenic Rate	Intragenic Rate	Ambiguous Alignment Rate	High Quality Exonic Rate	High Quality Intronic Rate	High Quality Intergenic Rate	High Quality Intragenic Rate	High Quality Ambiguous Alignment Rate	Discard Rate	rRNA rate	Chimeric Alignment Rate	End 1 Sense Rate	End 2 Sense Rate	Avg. Splits per Read	Alternative Alignments	Chimeric Reads	Duplicate Reads	End 1 Antisense	End 2 Antisense	End 1 Bases	End 2 Bases	End 1 Mapped Reads	End 2 Mapped Reads	End 1 Mismatches	End 2 Mismatches	End 1 Sense	End 2 Sense	Exonic Reads	Failed Vendor QC	High Quality Reads	Intergenic Reads	Intragenic Reads	Ambiguous Reads	Intronic Reads	Low Mapping Quality	Low Quality Reads	Mapped Duplicate Reads	Mapped Reads	Mapped Unique Reads	Mismatched Bases	Non-Globin Reads	Non-Globin Duplicate Reads	Reads excluded from exon counts	Reads used for Intron/Exon counts	rRNA Reads	Total Bases	Total Mapped Pairs	Total Read Number	Unique Mapping, Vendor QC Passed Reads	Unpaired Reads	Read Length	Genes Detected	Estimated Library Complexity	Genes used in 3' bias	Mean 3' bias	Median 3' bias	3' bias Std	3' bias MAD_Std	3' Bias, 25th Percentile	3' Bias, 75th Percentile	Median of Avg Transcript Coverage	Median of Transcript Coverage Std	Median of Transcript Coverage CV	Median Exon CV	Exon CV MAD
193CP_LS	0.990612	1.0	0.0	0.0	0.00207971	0.992501	0.988723	0.00202746	0.00213215	0.896547	0.916855	0.905044	0.0525964	0.0211894	0.95764	0.0211705	0.921342	0.0488167	0.0128572	0.970158	0.0169845	0.0	0.0143358	0.0	0.0147009	0.985819	0.430894	40256741.0	4373910.0	0.0	103196559.0	1484564.0	12646830241.0	12598700812.0	125216141.0	124739612.0	25640996.0	26862284.0	1539716.0	103199774.0	226220884.0	0.0	229173081.0	5296417.0	239367659.0	5291677.0	13146775.0	17203009.0	20782672.0	0.0	249955753.0	249955753.0	52503280.0	249936291.0	0.0	0.0	249955753.0	3583328.0	25245531053.0	124350355.0	292581327.0	252324586.0	0.0	101.0	24376.0	0.0	10231.0	0.538232	0.551724	0.305874	0.405437	0.271084	0.818182	0.0	0.0	0.920248	0.228381	0.231341
204H_AM_M1	0.95848	1.0	0.0	0.0	0.0103935	0.959299	0.957661	0.0110144	0.00977142	0.868566	0.862583	0.906191	0.0300715	0.031276	0.936262	0.032462	0.95003	0.0225021	0.00999512	0.972532	0.017473	0.0	0.0237117	0.0	0.494195	0.507539	0.256317	36251812.0	313053.0	0.0	25300071.0	24592970.0	4420168360.0	4412623384.0	58160110.0	58060834.0	48685608.0	43117581.0	24719308.0	25345946.0	105318324.0	0.0	100250173.0	3634923.0	108813257.0	3772764.0	3494933.0	17351996.0	15970771.0	0.0	116220944.0	116220944.0	91803189.0	116192270.0	0.0	0.0	116220944.0	2755795.0	8832791744.0	57629707.0	157507281.0	121255469.0	0.0	76.0	23745.0	0.0	5412.0	0.509302	0.5	0.305238	0.393114	0.25	0.777778	0.0	0.0	0.939833	0.257172	0.247116
205E_BD_M1	0.953132	1.0	0.0	0.0	0.0103233	0.954582	0.951682	0.01071	0.00993541	0.864781	0.863729	0.907305	0.030164	0.0389749	0.937469	0.0235562	0.959829	0.0170634	0.00817428	0.976892	0.0149333	0.0	0.0126231	0.0	0.492565	0.50781	0.277626	44993373.0	329154.0	0.0	24437338.0	23625014.0	4336071700.0	4322895504.0	57053575.0	56880204.0	46439170.0	42949742.0	23721200.0	24374748.0	103372676.0	0.0	98407958.0	4440559.0	106809378.0	2683842.0	3436702.0	17446092.0	15525821.0	0.0	113933779.0	113933779.0	89388912.0	113913879.0	0.0	0.0	113933779.0	1438192.0	8658967204.0	56475372.0	164529578.0	119536205.0	0.0	76.0	22339.0	0.0	5397.0	0.516746	0.503546	0.304531	0.379188	0.266667	0.783333	0.0	0.0	0.941836	0.246776	0.233872
210DB_BW_M1	0.947995	1.0	0.0	0.0	0.0106196	0.950549	0.94544	0.0102887	0.0109524	0.808376	0.883997	0.852722	0.0585551	0.0682128	0.911277	0.0205098	0.890155	0.0514956	0.0423596	0.941651	0.0159899	0.0	0.0161326	0.0	0.498848	0.503495	0.251061	27645817.0	247492.0	0.0	19746296.0	19437297.0	3683351932.0	3663556060.0	48465157.0	48204685.0	37896885.0	40124688.0	19655480.0	19710952.0	82432529.0	0.0	85455873.0	6594118.0	88093042.0	1982682.0	5660513.0	13018921.0	11213969.0	0.0	96669842.0	96669842.0	78021573.0	96623097.0	0.0	0.0	96669842.0	1559535.0	7346907992.0	47785925.0	129618811.0	101972994.0	0.0	76.0	26153.0	0.0	7157.0	0.761703	0.9	0.282935	0.13107	0.625	0.969231	0.0	0.0	1.70777	0.596705	0.598569
227DJ_JP_M1	0.957594	1.0	0.0	0.0	0.0103238	0.959389	0.955799	0.0105783	0.0100684	0.874576	0.866064	0.913305	0.0286991	0.0320889	0.942004	0.0259069	0.957147	0.0194916	0.00779239	0.976638	0.0155695	0.0	0.0119471	0.0	0.492222	0.507694	0.262091	33294989.0	326358.0	0.0	22610668.0	21834961.0	3969242272.0	3954387388.0	52226872.0	52031413.0	41987913.0	39814324.0	21917938.0	22517492.0	95219629.0	0.0	90294383.0	3345532.0	98211744.0	2701009.0	2992115.0	15211586.0	13963902.0	0.0	104258285.0	104258285.0	81802237.0	104229154.0	0.0	0.0	104258285.0	1245581.0	7923629660.0	51677668.0	142170235.0	108875246.0	0.0	76.0	21749.0	0.0	5035.0	0.504685	0.5	0.30527	0.37927	0.25	0.766102	0.0	0.0	0.945899	0.246383	0.234224
247DT_SH_M1	0.954217	1.0	0.0	0.0	0.0102972	0.95468	0.953753	0.0110755	0.00951823	0.876143	0.883503	0.91818	0.030089	0.0302557	0.948269	0.0214751	0.952777	0.0223289	0.00982568	0.975106	0.0150685	0.0	0.00914801	0.0	0.493908	0.505984	0.295652	31276210.0	376688.0	0.0	25873318.0	25229596.0	4514839432.0	4510457424.0	59405782.0	59348124.0	50003932.0	42931550.0	25250443.0	25840788.0	109037486.0	0.0	104919422.0	3592988.0	112610671.0	2550247.0	3573185.0	15611787.0	13834484.0	0.0	118753906.0	118753906.0	92935482.0	118701235.0	0.0	0.0	118753906.0	1086362.0	9025296856.0	58863934.0	155727938.0	124451728.0	0.0	76.0	23636.0	0.0	6506.0	0.512399	0.506122	0.301686	0.379223	0.258427	0.766846	0.0	0.0	0.910821	0.227659	0.216053
250DV_LR_M1	0.986985	1.0	0.0	0.0	0.00315289	0.988687	0.985284	0.00291714	0.00338944	0.88692	0.911079	0.898615	0.051105	0.0312482	0.94972	0.0190314	0.924645	0.0476144	0.0126912	0.972259	0.0150497	0.0	0.014461	0.0	0.502488	0.50228	0.247264	14462352.0	213451.0	0.0	14079732.0	14021777.0	2553211336.0	2544423152.0	33594886.0	33479252.0	7448083.0	8624176.0	14220575.0	14150243.0	60273852.0	0.0	61109862.0	2095947.0	63701679.0	1276512.0	3427827.0	5826703.0	5964276.0	0.0	67074138.0	67074138.0	16072259.0	67069120.0	0.0	0.0	67074138.0	969956.0	5097634488.0	33293464.0	82420944.0	67958592.0	0.0	76.0	22530.0	0.0	4736.0	0.59659	0.64	0.300619	0.355824	0.375	0.862745	0.0	0.0	0.93964	0.28346	0.268017
251DW_SD_M1	0.988535	1.0	0.0	0.0	0.00299215	0.989781	0.987288	0.00276721	0.00321766	0.875989	0.91544	0.886149	0.0616149	0.0326619	0.947764	0.0195746	0.910202	0.058619	0.0152201	0.968821	0.0159586	0.0	0.014505	0.0	0.503079	0.501178	0.255603	13237985.0	229962.0	0.0	13124082.0	13126871.0	2393965648.0	2387935352.0	31499548.0	31420202.0	6624599.0	7683568.0	13286703.0	13188893.0	55756249.0	0.0	57599270.0	2055076.0	59633043.0	1231631.0	3876794.0	5101993.0	5320480.0	0.0	62919750.0	62919750.0	14308167.0	62917306.0	0.0	0.0	62919750.0	912650.0	4781901000.0	31248005.0	76887496.0	63649511.0	0.0	76.0	22667.0	0.0	4521.0	0.586314	0.620968	0.299793	0.364273	0.363636	0.857143	0.0	0.0	0.920135	0.278297	0.261844
252DX_DC_M1	0.986854	1.0	0.0	0.0	0.00318272	0.988719	0.984989	0.00289947	0.00346704	0.897322	0.910532	0.909275	0.0420865	0.030512	0.951362	0.0181263	0.936672	0.0384853	0.0116006	0.975158	0.0132416	0.0	0.0123293	0.0	0.499709	0.504577	0.274777	16027192.0	408567.0	0.0	14785970.0	14573431.0	2690942336.0	2680792156.0	35407136.0	35273581.0	7802302.0	9294415.0	14768767.0	14842682.0	64268220.0	0.0	64357028.0	2156613.0	67242925.0	1281179.0	2974705.0	6014611.0	6323689.0	0.0	70680717.0	70680717.0	17096717.0	70678344.0	0.0	0.0	70680717.0	871445.0	5371734492.0	35077242.0	87649447.0	71622255.0	0.0	76.0	21972.0	0.0	4526.0	0.553237	0.565217	0.302599	0.375045	0.321429	0.821918	0.0	0.0	0.938572	0.272058	0.258735
253DY_HA_M1	0.988034	1.0	0.0	0.0	0.00312229	0.989667	0.986401	0.00292773	0.00331749	0.850242	0.923782	0.860539	0.0840852	0.0354053	0.944624	0.0199704	0.879583	0.0817114	0.0212054	0.961294	0.0175006	0.0	0.00757525	0.0	0.500918	0.50236	0.251991	10697446.0	197867.0	0.0	12459400.0	12373763.0	2278005760.0	2270488448.0	29973760.0	29874848.0	6669395.0	7532313.0	12505223.0	12491104.0	51502067.0	0.0	55287059.0	2118958.0	56534447.0	1195203.0	5032380.0	4401614.0	4561549.0	0.0	59848608.0	59848608.0	14201708.0	59834166.0	0.0	0.0	59848608.0	453368.0	4548494208.0	29729657.0	71270871.0	60573425.0	0.0	76.0	23803.0	0.0	5027.0	0.569367	0.595	0.294398	0.357059	0.341463	0.831325	0.0	0.0	0.87007	0.253914	0.23628
